,name,Lon,Lat,Max Temp,Wind Speed,Humidity,Cloud Cover,Country
0,Ushuaia,-68.3,-54.8,46.4,4.7,75.0,20.0,AR
0,Punta Arenas,-70.92,-53.15,41.0,6.93,86.0,100.0,CL
0,Bluff,168.33,-46.6,57.29,7.85,73.0,0.0,NZ
0,Kaitangata,169.85,-46.28,60.01,4.0,60.0,0.0,NZ
0,Mataura,168.86,-46.19,59.83,3.47,62.0,0.0,NZ
0,Tuatapere,167.68,-46.13,62.31,6.15,66.0,0.0,NZ
0,Dunedin,170.5,-45.87,61.0,14.0,57.0,9.0,NZ
0,Comodoro Rivadavia,-67.5,-45.87,55.4,6.38,93.0,100.0,AR
0,Coyhaique,-72.07,-45.58,46.4,2.82,100.0,90.0,CL
0,Wanaka,169.15,-44.7,57.36,5.46,65.0,15.0,NZ
0,Hobart,147.33,-42.88,54.0,5.82,81.0,75.0,AU
0,New Norfolk,147.06,-42.78,54.0,2.84,86.0,100.0,AU
0,Ancud,-73.82,-41.87,55.99,8.05,100.0,90.0,CL
0,Port Montt,-72.94,-41.47,55.4,11.41,93.0,90.0,CL
0,Waipawa,175.52,-41.41,62.6,5.82,67.0,38.0,NZ
0,Viedma,-63.0,-40.81,64.18,14.9,51.0,100.0,AR
0,Necochea,-58.74,-38.55,53.01,8.01,87.0,100.0,AR
0,Codrington,141.97,-38.27,53.51,17.36,68.0,100.0,AU
0,Mar del Plata,-57.56,-38.0,57.2,14.99,71.0,57.0,AR
0,Lebu,-73.65,-37.62,57.54,5.91,94.0,100.0,CL
0,Warkworth,174.67,-36.4,64.99,3.0,71.0,0.0,NZ
0,Ulladulla,150.47,-35.35,75.0,12.75,33.0,39.0,AU
0,Constitución,-72.42,-35.33,55.74,5.82,91.0,100.0,CL
0,Ahipara,173.17,-35.17,65.41,8.25,63.0,0.0,NZ
0,Kaeo,173.78,-35.1,66.99,11.01,67.0,0.0,NZ
0,Port Lincoln,135.87,-34.73,55.6,18.19,61.0,97.0,AU
0,Kiama,150.87,-34.68,75.99,5.99,37.0,0.0,AU
0,Bredasdorp,20.04,-34.53,60.8,2.24,87.0,87.0,ZA
0,Hermanus,19.23,-34.42,60.01,9.4,78.0,100.0,ZA
0,Kruisfontein,24.73,-34.0,55.51,2.73,95.0,0.0,ZA
0,Cape Town,18.42,-33.93,59.0,6.93,87.0,93.0,ZA
0,Port Elizabeth,25.57,-33.92,60.8,3.36,93.0,75.0,ZA
0,Esperance,121.9,-33.87,50.0,5.82,93.0,75.0,AU
0,Buin,-70.75,-33.73,60.8,9.17,63.0,7.0,CL
0,Chui,-53.46,-33.7,51.26,4.61,76.0,0.0,UY
0,Busselton,115.33,-33.65,48.99,1.99,89.0,0.0,AU
0,Port Alfred,26.89,-33.59,62.01,6.62,97.0,3.0,ZA
0,East London,27.91,-33.02,69.35,3.49,72.0,91.0,ZA
0,Saldanha,17.94,-33.01,57.2,4.7,76.0,0.0,ZA
0,Nelson Bay,152.15,-32.72,71.6,6.93,53.0,75.0,AU
0,Young,-57.63,-32.68,53.01,7.11,83.0,0.0,UY
0,Mandurah,115.7,-32.55,55.99,8.9,75.0,0.0,AU
0,Port Augusta,137.77,-32.5,59.0,16.11,47.0,0.0,AU
0,Dubbo,148.62,-32.25,69.8,12.75,56.0,97.0,AU
0,Rio Grande,-52.1,-32.03,53.01,6.71,90.0,0.0,BR
0,Port Macquarie,152.92,-31.43,69.01,1.01,77.0,100.0,AU
0,Rafaela,-61.49,-31.25,55.99,3.0,51.0,99.0,AR
0,Aliwal North,26.71,-30.69,49.82,2.24,48.0,0.0,ZA
0,Cidreira,-50.21,-30.18,60.26,7.23,79.0,0.0,BR
0,Coquimbo,-71.34,-29.95,59.0,4.7,77.0,90.0,CL
0,Santa Maria,-53.81,-29.68,52.38,3.4,79.0,9.0,BR
0,Ballina,153.57,-28.87,73.4,5.82,60.0,75.0,AU
0,Soledade,-52.51,-28.82,47.19,2.44,75.0,0.0,BR
0,Richards Bay,32.04,-28.78,64.06,4.68,85.0,0.0,ZA
0,Geraldton,114.6,-28.77,59.0,12.75,54.0,77.0,AU
0,Warmbad,18.73,-28.45,67.37,11.12,23.0,0.0,NA
0,Gold Coast,153.43,-28.0,75.99,11.41,53.0,40.0,AU
0,Lüderitz,15.16,-26.65,51.8,1.12,100.0,0.0,NA
0,Keetmanshoop,18.13,-26.58,68.0,9.17,18.0,0.0,NA
0,Taltal,-70.48,-25.4,59.95,5.21,76.0,22.0,CL
0,Yulara,130.99,-25.24,60.8,17.22,38.0,0.0,AU
0,Carnarvon,113.63,-24.87,68.77,22.01,42.0,100.0,AU
0,Castro,-50.01,-24.79,47.84,3.47,92.0,0.0,BR
0,Inhambane,35.38,-23.86,69.55,8.12,83.0,40.0,MZ
0,Ilhabela,-45.36,-23.78,66.45,5.19,71.0,27.0,BR
0,Alice Springs,133.88,-23.7,66.2,13.87,20.0,0.0,AU
0,Antofagasta,-70.4,-23.65,60.8,9.17,82.0,90.0,CL
0,Emerald,148.17,-23.53,77.0,11.41,64.0,0.0,AU
0,Pozo Colorado,-58.8,-23.49,54.28,3.2,42.0,0.0,PY
0,Vangaindrano,47.6,-23.35,67.87,5.21,91.0,69.0,MG
0,Santa Isabel,-46.22,-23.32,59.0,10.29,82.0,75.0,BR
0,Rikitea,-134.97,-23.12,76.06,5.88,69.0,90.0,PF
0,Arraial do Cabo,-42.03,-22.97,71.4,6.64,57.0,46.0,BR
0,Walvis Bay,14.51,-22.96,70.41,5.5,44.0,0.0,NA
0,Vao,167.48,-22.67,72.79,20.8,75.0,1.0,NC
0,Moerai,-151.33,-22.43,78.1,9.55,71.0,2.0,PF
0,Noumea,166.46,-22.28,75.0,12.75,83.0,90.0,NC
0,Henties Bay,14.28,-22.12,68.38,7.43,52.0,0.0,NA
0,Machado,-45.92,-21.67,54.59,2.28,82.0,5.0,BR
0,São João da Barra,-41.05,-21.64,67.21,5.7,76.0,0.0,BR
0,Tadine,167.88,-21.55,75.42,18.61,71.0,12.0,NC
0,Saint-Joseph,55.62,-21.37,71.6,10.29,53.0,20.0,RE
0,Saint-Philippe,55.77,-21.36,71.6,10.29,53.0,20.0,RE
0,Poya,165.15,-21.35,77.7,9.93,66.0,52.0,NC
0,Saint-Pierre,55.48,-21.34,71.6,10.29,53.0,20.0,RE
0,Avarua,-159.78,-21.21,82.4,16.11,74.0,19.0,CK
0,Vaini,-175.2,-21.2,82.4,16.11,83.0,75.0,TO
