,weather,base,dt,timezone,id,name,cod,Lon,Lat,main.temp,main.feels_like,main.temp_min,Max Temp,main.pressure,Humidity,Wind Speed,wind.deg,wind.gust,rain.1h,Cloud Cover,sys.type,sys.id,Country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,message,visibility,snow.1h
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,1588986010.0,-14400.0,5106841.0,Albany,200,-73.97,42.6,37.8,31.62,36.0,39.0,1002.0,72.0,4.0,270.0,7.0,0.76,100.0,3.0,19530.0,US,1588930858.0,1588982624.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986163.0,-14400.0,3628473.0,San Cristobal,200,-72.22,7.77,67.73,69.57,67.73,67.73,1014.0,88.0,5.39,117.0,,,91.0,,,VE,1588933927.0,1588978715.0,1014.0,909.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986163.0,43200.0,2180815.0,Tuatapere,200,167.68,-46.13,62.31,59.14,62.31,62.31,1019.0,66.0,6.15,14.0,,,0.0,,,NZ,1588967781.0,1589002508.0,1019.0,1015.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588986163.0,10800.0,556268.0,Ostrovnoy,200,39.51,68.05,30.09,20.62,30.09,30.09,1008.0,96.0,9.75,221.0,,,100.0,,,RU,1588981068.0,1589050741.0,1008.0,1006.0,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,1588986164.0,36000.0,2155415.0,New Norfolk,200,147.06,-42.78,50.63,48.24,46.99,54.0,999.0,86.0,2.84,327.0,,0.23,100.0,3.0,2031307.0,AU,1588972235.0,1589007951.0,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588986164.0,-25200.0,5325327.0,Avenal,200,-120.13,36.0,94.15,85.69,93.0,96.8,1009.0,14.0,10.29,340.0,,,75.0,1.0,5097.0,US,1588942814.0,1588992824.0,,,,16093.0,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,1588986165.0,0.0,2412408.0,Nioro,200,-15.75,13.35,76.82,74.43,76.82,76.82,1010.0,43.0,5.7,303.0,,,39.0,,,GM,1589006322.0,1589052011.0,1010.0,1006.0,,,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,1588986165.0,0.0,3372707.0,Ribeira Grande,200,-28.7,38.52,63.3,56.12,63.3,63.3,1018.0,91.0,18.97,285.0,,0.33,100.0,,,PT,1589006909.0,1589057640.0,1018.0,1015.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986165.0,10800.0,1071296.0,Antalaha,200,50.28,-14.9,72.75,75.18,72.75,72.75,1015.0,83.0,6.91,198.0,,,3.0,,,MG,1588992654.0,1589033985.0,1015.0,1013.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588986165.0,28800.0,2074865.0,Carnarvon,200,113.63,-24.87,68.77,55.15,68.77,68.77,1019.0,42.0,22.01,108.0,,,100.0,,,AU,1588978288.0,1589017944.0,1019.0,1019.0,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,1588986165.0,-10800.0,3833367.0,Ushuaia,200,-68.3,-54.8,46.4,41.32,46.4,46.4,992.0,75.0,4.7,50.0,,,20.0,1.0,8303.0,AR,1588939654.0,1588971107.0,,,,10000.0,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986166.0,-14400.0,3893726.0,Constitución,200,-72.42,-35.33,55.74,53.46,55.74,55.74,1018.0,91.0,5.82,35.0,,,100.0,,,CL,1588937562.0,1588975176.0,1018.0,1014.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588986166.0,25200.0,1516048.0,Khovd,200,91.64,48.01,43.12,37.71,43.12,43.12,1023.0,61.0,2.93,49.0,,,51.0,,,MN,1588976565.0,1589030222.0,1023.0,866.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986166.0,-10800.0,3874787.0,Punta Arenas,200,-70.92,-53.15,41.0,34.34,41.0,41.0,992.0,86.0,6.93,300.0,,,100.0,1.0,8487.0,CL,1588939910.0,1588972108.0,,,,10000.0,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588985975.0,-10800.0,3466704.0,Castro,200,-50.01,-24.79,47.84,44.87,47.84,47.84,1024.0,92.0,3.47,48.0,,,0.0,,,BR,1588931138.0,1588970844.0,1024.0,909.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986167.0,7200.0,3366880.0,Hermanus,200,19.23,-34.42,60.01,55.69,60.01,60.01,1018.0,78.0,9.4,82.0,,,100.0,3.0,2003650.0,ZA,1589001901.0,1589039642.0,,,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,1588986167.0,-36000.0,4034551.0,Faanui,200,-151.75,-16.48,81.93,84.76,81.93,81.93,1013.0,79.0,13.13,102.0,,,14.0,,,PF,1588954860.0,1588995955.0,1013.0,1005.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588986167.0,10800.0,866062.0,Iskateley,200,53.15,67.68,30.36,22.14,30.36,30.36,1011.0,99.0,7.78,216.0,,,100.0,,,RU,1588978158.0,1589047104.0,1011.0,1010.0,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,,
0,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986168.0,39600.0,2137773.0,Vao,200,167.48,-22.67,72.79,66.09,72.79,72.79,1016.0,75.0,20.8,140.0,,,1.0,,,NC,1588965165.0,1589005220.0,1016.0,1010.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986168.0,7200.0,1015776.0,Bredasdorp,200,20.04,-34.53,60.8,61.72,60.8,60.8,1023.0,87.0,2.24,90.0,,,87.0,1.0,1966.0,ZA,1589001719.0,1589039436.0,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986168.0,-25200.0,6149996.0,Smithers,200,-127.17,54.78,69.8,60.93,69.8,69.8,1025.0,28.0,10.29,150.0,,,5.0,1.0,990.0,CA,1588941215.0,1588997802.0,,,,40233.0,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986169.0,-14400.0,6138802.0,Saint-Michel-des-Saints,200,-73.92,46.68,35.01,25.68,35.01,35.01,1008.0,4.0,4.05,314.0,,,2.0,3.0,2018795.0,CA,1588930186.0,1588983272.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588986169.0,28800.0,1714733.0,Dingle,200,122.67,11.0,88.12,91.26,88.12,88.12,1010.0,58.0,9.33,30.0,,,98.0,,,PH,1588973296.0,1589018597.0,1010.0,1007.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986169.0,28800.0,2075265.0,Busselton,200,115.33,-33.65,44.73,41.72,37.99,48.99,1028.0,89.0,1.99,47.0,3.0,,0.0,3.0,2020551.0,AU,1588978741.0,1589016675.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588986169.0,-28800.0,5557293.0,Sitka,200,-135.33,57.05,55.4,50.43,55.4,55.4,1023.0,62.0,5.82,200.0,,,90.0,1.0,7795.0,US,1588942526.0,1589000408.0,,,,16093.0,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,1588986170.0,32400.0,1651810.0,Airai,200,125.41,-8.93,68.76,70.9,68.76,68.76,1012.0,81.0,3.85,123.0,,,19.0,,,TL,1588974154.0,1589016424.0,1012.0,858.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986170.0,3600.0,2260401.0,Djambala,200,14.75,-2.54,68.67,72.77,68.67,68.67,1011.0,90.0,2.57,326.0,,,100.0,,,CG,1589000230.0,1589043464.0,1011.0,923.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986170.0,-7200.0,3418910.0,Upernavik,200,-56.15,72.79,21.47,10.62,21.47,21.47,1026.0,90.0,10.25,6.0,,,100.0,,,GL,0.0,0.0,1026.0,1026.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986170.0,28800.0,2037485.0,Erenhot,200,111.98,43.65,61.65,47.7,61.65,61.65,1008.0,27.0,17.31,271.0,,,3.0,,,CN,1588972434.0,1589024590.0,1008.0,901.0,,,
0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,1588986171.0,-14400.0,5924351.0,Clyde River,200,-68.59,70.47,14.0,-0.71,14.0,14.0,1031.0,92.0,16.11,320.0,,,90.0,1.0,776.0,CA,1588917732.0,1588993168.0,,,,14484.0,
0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]",stations,1588986171.0,0.0,3372783.0,Ponta Delgada,200,-25.67,37.73,59.0,49.48,59.0,59.0,1018.0,93.0,20.8,290.0,,,75.0,1.0,6899.0,PT,1589006286.0,1589056809.0,,,,6000.0,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588985923.0,-21600.0,5600685.0,Meridian,200,-116.39,43.61,73.27,62.2,72.0,73.99,1019.0,20.0,12.75,290.0,18.34,,1.0,1.0,4829.0,US,1588940876.0,1588992967.0,,,,16093.0,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588986171.0,-32400.0,4030556.0,Rikitea,200,-134.97,-23.12,76.06,78.1,76.06,76.06,1016.0,69.0,5.88,60.0,,,90.0,,,PF,1588951388.0,1588991374.0,1016.0,1013.0,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588986172.0,43200.0,2189343.0,Kaeo,200,173.78,-35.1,65.98,61.25,64.99,66.99,1023.0,67.0,11.01,151.0,17.0,,0.0,3.0,2031095.0,NZ,1588964864.0,1589002497.0,,,,,
0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,1588986172.0,-14400.0,5122534.0,Jamestown,200,-79.24,42.1,31.68,20.91,30.2,33.01,1009.0,80.0,11.41,320.0,,,90.0,1.0,4588.0,US,1588932196.0,1588983816.0,,,,11265.0,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588985943.0,-21600.0,4021858.0,Guerrero Negro,200,-114.06,27.98,71.49,64.38,71.49,71.49,1011.0,62.0,17.0,315.0,,,0.0,,,MX,1588942237.0,1588990488.0,1011.0,1011.0,,,
0,"[{'id': 310, 'main': 'Drizzle', 'description': 'light intensity drizzle rain', 'icon': '09n'}]",stations,1588986173.0,0.0,3372760.0,Praia da Vitória,200,-27.07,38.73,59.0,55.71,59.0,59.0,1017.0,93.0,9.75,284.0,,,75.0,1.0,6895.0,PT,1589006490.0,1589057276.0,,,,4000.0,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986173.0,-14400.0,4470244.0,Havelock,200,-76.9,34.88,66.15,55.02,64.0,68.0,1010.0,60.0,20.8,220.0,29.97,,90.0,1.0,5098.0,US,1588932579.0,1588982309.0,,,,16093.0,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588986173.0,36000.0,2177069.0,Ballina,200,153.57,-28.87,72.32,71.47,69.8,73.4,1019.0,60.0,5.82,340.0,,,75.0,1.0,9496.0,AU,1588969072.0,1589007989.0,,,,10000.0,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588985917.0,-21600.0,3652764.0,Puerto Ayora,200,-90.35,-0.74,77.0,86.31,77.0,77.0,1010.0,94.0,1.99,88.0,3.0,,77.0,3.0,2005652.0,EC,1588938919.0,1588982426.0,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588986174.0,28800.0,1806840.0,Huilong,200,121.66,31.81,72.1,77.09,69.01,73.99,1007.0,80.0,1.01,270.0,3.0,,75.0,3.0,2000071.0,CN,1588971649.0,1589020728.0,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986174.0,-10800.0,3831208.0,Qaanaaq,200,-69.36,77.48,8.4,-1.66,8.4,8.4,1030.0,80.0,6.96,18.0,,,0.0,,,GL,0.0,0.0,1030.0,1030.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588986174.0,-14400.0,3883457.0,Lebu,200,-73.65,-37.62,57.54,56.03,57.54,57.54,1014.0,94.0,5.91,352.0,,,100.0,,,CL,1588938120.0,1588975208.0,1014.0,1004.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986174.0,-7200.0,3421765.0,Nanortalik,200,-45.24,60.14,39.6,34.59,39.6,39.6,1022.0,72.0,2.37,82.0,,,0.0,,,GL,1588919885.0,1588979807.0,1022.0,1021.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986174.0,7200.0,3355672.0,Lüderitz,200,15.16,-26.65,51.8,51.75,51.8,51.8,1017.0,100.0,1.12,190.0,,,0.0,1.0,2260.0,NA,1589002093.0,1589041404.0,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,1588986175.0,-10800.0,3445459.0,Várzea da Palma,200,-44.73,-17.6,64.31,66.6,64.31,64.31,1021.0,90.0,2.64,77.0,,,59.0,,,BR,1588929260.0,1588970187.0,1021.0,961.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,1588986175.0,28800.0,7696234.0,Nanhai,200,111.78,30.13,68.0,72.54,68.0,68.0,1003.0,91.0,1.54,47.0,,,96.0,3.0,2000150.0,CN,1588974199.0,1589022921.0,,,,,
0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,1588986175.0,-14400.0,4845585.0,Westport,200,-73.36,41.14,43.38,38.8,42.01,44.6,1004.0,93.0,4.7,90.0,,1.83,90.0,1.0,3409.0,US,1588930924.0,1588982265.0,,,,9656.0,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986175.0,-10800.0,3443061.0,Chui,200,-53.46,-33.7,51.26,47.26,51.26,51.26,1021.0,76.0,4.61,331.0,,,0.0,,,UY,1588932832.0,1588970806.0,1021.0,1020.0,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,,
0,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,1588986176.0,7200.0,3361934.0,Saldanha,200,17.94,-33.01,57.2,54.55,57.2,57.2,1018.0,76.0,4.7,170.0,,,0.0,1.0,1943.0,ZA,1589002058.0,1589040104.0,,,,,
